Brand,product,Price,Rating Score,Rating Count
MSI,"Thin 15 B12VE-1892XTR Intel Core i7-12650H 16GB 512GB SSD 6GB RTX 4050 15.6""FHD 144Hz Freedos",36.715 TL,4.6,5
CASPER,"Nirvana C550.1235-BV00X-G-F Intel Core i5-1235U 16GB RAM 500GB NVMe SSD FREEDOS 15.6"" Laptop",15.849 TL,4.5,47
CASPER,"Nirvana X600.1270-DF00X-G-F Intel Core i7-12700H 32GB RAM 1TB NVMe SSD FREEDOS 15,6"" Laptop",22.499 TL,3.9,9
MONSTER,"Abra A5 V20.4.2 Intel Core i5 12450H 32 GB RAM 1 TB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz",38.299 TL,4.7,296
Apple,"Macbook Air M2 16gb 256gb Ssd Macos 13"" Taşınabilir Bilgisayar Uzay Grisi Mc7u4tu/a",39.081 TL,,
LENOVO,"V15 G3 I5 1235U 16GB 512GB SSD 15.6"" Fhd Freedos Taşınabilir Bilgisayar 82TT00HDTRT3",15.799 TL,5.0,1
ASUS,ROG ZEPHYRUS G15 GA503RM-HQ068W RYZEN 7 6800HS 16GB 512GB SSD RTX3060 QHD W11 REFURBISHED ÜRÜN,42.899 TL,,
LENOVO,"Yoga 6 83B2008RTX Ryzen7 7730U 16GB 1TBSSD 13.3"" FHD+ Touch FreeDOS Dizüstü Bilgisayar",29.699 TL,,
LENOVO,i5-12450HX 8GB DDR5 512GB SSD RTX4050 6GDR6 Win11 Home 15.6 144Hz FHD 83GS0081TR,30.035 TL,,
HP,"Victus 16-R1070NT Intel Core i7-14700HX 16GB 1TB SSD RTX4050 16.1"" FHD 144 Hz DOS 9J271EA","43.179,95 TL",4.0,6
LENOVO,"i7-1255U 16G 512G 15.6"" Windows 11 Pro Taşınabilir Bilgisayar 82TT0055TXw11p",22.399 TL,4.5,16
HP,"Victus 16-R0066NT 8B5Z9EA i7-13700H 32GB  1TB SSD 8GB NVIDIA GeForce RTX4060 16.1""FHD 144Hz Mavi",49.799 TL,4.7,3
LENOVO,Ideapad Slim 3 Intel Core I3 N305 8gb 512gb Ssd Freedos 14 Inç 82xa0046tx,10.599 TL,,
LENOVO,Ideapad 1 Amd Ryzen™ 5 5500U 8 GB 256 GB Ssd Freedos 14 Inç 82R3008WTX,"13.965,88 TL",4.4,16
LENOVO,"IdeaPad Slim3 IntelCore i5-12450H 16GB 512GB SSD DOS 15.6"" Arctic Grey Dizüstü Bilgisayar 83ER008KTR",17.949 TL,4.4,63
LENOVO,"IdeaPad 1 15IGL7 82V700HGTX N4020 8 GB 256 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",8.999 TL,,
ACER,"Nitro 5 Intel Core I7 12650h 16gb 1tb Ssd Rtx4060-8gb Dos 15.6"" 165 Hz Notebook Nh.qm0ey.00a",42.399 TL,5.0,6
HP,Victus 15-fa0008nt 12.Nesil Core i5 12450H-RTX3050 4Gb-16Gb-512Gb-15.6inc-W11,28.999 TL,4.6,8
CASPER,Excalibur G870.1245-BVA0X-B Core i5-12450H 16GB RAM 500GB NVME SSD 6GB RTX4050 DOS GAMING LAPTOP,31.799 TL,4.5,66
ASUS,Tuf Gaming F15 Fx507zc4-hn158 Intel Core I5 12500h 8 Gb 512 Gb Ssd Rtx 3050 144 Hz Freedos 15.6,28.999 TL,3.7,7
MSI,Nb Cyborg 15 A13ve-1479xtr I7-13620h 16gb Ddr5 Rtx4050 Gddr6 6gb 512gb Ssd 15.6 Fhd 144hz Dos,41.099 TL,5.0,1
Apple,Macbook Pro M3 8gb 1tb Ssd 14 Inç Gümüş Mr7k3tu/a,55.699 TL,4.5,6
ACER,"Aspire I5-12450h 16 Gb 512 Gb Ssd Fdos 15.6"" Ips (1920X1080) Nx.kn4ey.002",16.999 TL,4.4,21
